,id,ndb_no,shrt_desc,water,energ_kcal,protein,lipid_tot,ash,carbohydrt,fiber_td,sugar_tot,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folate_tot,folic_acid,food_folate,folate_dfe,choline_tot,vit_b12,vit_a_iu,vit_a_rae,retinol,alpha_carot,beta_carot,beta_crypt,lycopene,lutzea,vit_e,vit_d,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,cholestrl,gmwt_1,gmwt_desc1,gmwt_2,gmwt_desc2,refuse_pct,fruit_name
0,1353,4532,"OIL,HAZELNUT",0.0,884,0.0,100.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,47.2,0.0,0,0.0,7.4,78.0,10.2,0,13.6,1 tablespoon,218.0,1 cup,0,hazelnut
1,2527,8689,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,BLUEBERRY HAZELNUT,DRY",7.47,386,9.81,9.8,3.46,69.47,7.7,18.71,64,3.08,98,287,317,337,2.15,0.0,0.0,0.0,2.8,0.352,0.115,1.557,0.0,0.127,34,0,34,0,0.0,0.0,20,0,0,0,0,0,0,0,0.45,0.0,0,0.0,1.648,3.742,2.863,1,70.0,"1 package,  (1 NLEA serving)",0.0,,0,hazelnut
2,2995,19125,CHOCOLATE-FLAVORED HAZELNUT SPRD,1.07,541,5.41,29.73,1.44,62.16,5.4,54.05,108,4.38,64,152,407,41,1.06,0.469,0.868,3.6,0.0,0.085,0.17,0.427,0.357,0.082,14,0,14,14,17.6,0.27,3,1,0,0,1,0,0,10,4.96,0.0,0,1.9,28.423,0.0,0.0,0,37.0,"1 serving, 2 TBSP",0.0,,0,hazelnut
3,5105,35233,"HAZELNUTS,BEAKED (NORTHERN PLAINS INDIANS)",5.92,628,14.89,52.99,3.22,22.98,9.8,0.0,441,3.12,235,411,738,2,2.06,1.2,7.6,0.0,0.0,0.48,0.16,3.19,0.0,0.55,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.4,1 nut,28.35,1 oz,0,hazelnut
4,6486,12120,HAZELNUTS OR FILBERTS,5.31,628,14.95,60.75,2.29,16.7,9.7,4.34,114,4.7,163,290,680,0,2.45,1.725,6.175,2.4,6.3,0.643,0.113,1.8,0.918,0.563,113,0,113,113,45.6,0.0,20,1,0,3,11,0,0,92,15.03,0.0,0,14.2,4.464,45.652,7.92,0,115.0,"1 cup, chopped",75.0,"1 cup, ground",59,hazelnut
5,6487,12121,"HAZELNUTS OR FILBERTS,BLANCHED",5.79,629,13.7,61.15,2.36,17.0,11.0,3.49,149,3.3,160,310,658,0,2.2,1.6,12.65,4.1,2.0,0.475,0.11,1.55,0.815,0.585,78,0,78,78,0.0,0.0,40,2,0,2,23,0,0,0,17.5,0.0,0,0.0,4.669,48.192,5.558,0,28.35,1 oz,0.0,,0,hazelnut
6,6488,12122,"HAZELNUTS OR FILBERTS,DRY RSTD,WO/SALT",2.52,646,15.03,62.4,2.45,17.6,9.4,4.89,123,4.38,173,310,755,0,2.5,1.75,5.55,4.1,3.8,0.338,0.123,2.05,0.923,0.62,88,0,88,88,0.0,0.0,61,3,0,1,36,0,0,0,15.28,0.0,0,0.0,4.511,46.608,8.463,0,28.35,1 oz,0.0,,0,hazelnut
7,8248,16262,SILK HAZELNUT CREAMER,72.95,133,0.0,6.67,0.38,20.0,0.0,20.0,0,0.0,0,0,0,67,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,15.0,1 tbsp,0.0,,0,hazelnut
8,912,3222,"BABYFOOD,CHERRY COBBLER,JR",79.8,78,0.3,0.1,0.19,19.2,0.2,10.39,5,0.1,2,6,45,0,0.05,0.01,0.02,0.9,9.3,0.01,0.01,0.06,0.043,0.02,2,0,2,2,1.5,0.0,31,2,0,0,19,0,0,20,0.03,0.0,0,0.5,0.02,0.02,0.03,0,28.35,1 oz,0.0,,0,cherry
9,913,3224,"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR",81.5,68,0.2,0.3,0.2,17.8,0.3,9.15,5,0.19,2,7,34,0,0.04,0.05,0.0,0.6,1.1,0.008,0.011,0.038,0.0,0.011,0,0,0,0,4.7,0.01,261,18,6,0,145,0,0,9,0.01,0.0,1,0.2,0.087,0.105,0.053,10,28.35,1 oz,113.0,1 jar,0,cherry
10,914,3225,"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,JR",81.0,69,0.2,0.2,0.2,18.4,0.3,16.98,5,0.17,2,7,33,0,0.03,0.051,0.0,0.6,1.1,0.007,0.011,0.038,0.0,0.012,0,0,0,0,4.7,0.01,261,18,6,0,145,0,0,9,0.01,0.0,1,0.2,0.058,0.07,0.036,10,28.35,1 oz,170.0,1 jar,0,cherry
11,931,3268,"BABYFOOD,JUC,APPL&CHERRY",89.5,41,0.1,0.2,0.3,9.9,0.1,8.98,5,0.66,3,6,98,0,0.03,0.043,0.0,0.1,58.3,0.008,0.015,0.094,0.102,0.031,0,0,0,0,2.4,0.0,5,0,0,0,3,0,0,26,0.02,0.0,0,0.4,0.035,0.011,0.06,0,31.2,1 fl oz,127.0,1 jar,0,cherry
